Source Name,ArrayExpress_Accession,Cell Type,Dir
2i_4_60,ERR1211523,2i,/home/s2321661/Test/align/ERR1211523/ERR1211523_Aligned.sortedByCoord.out.bam
2i_4_61,ERR1211524,2i,/home/s2321661/Test/align/ERR1211524/ERR1211524_Aligned.sortedByCoord.out.bam
2i_4_62,ERR1211525,2i,/home/s2321661/Test/align/ERR1211525/ERR1211525_Aligned.sortedByCoord.out.bam
2i_4_63,ERR1211526,2i,/home/s2321661/Test/align/ERR1211526/ERR1211526_Aligned.sortedByCoord.out.bam
2i_4_64,ERR1211527,2i,/home/s2321661/Test/align/ERR1211527/ERR1211527_Aligned.sortedByCoord.out.bam
2i_4_65,ERR1211528,2i,/home/s2321661/Test/align/ERR1211528/ERR1211528_Aligned.sortedByCoord.out.bam
2i_4_66,ERR1211529,2i,/home/s2321661/Test/align/ERR1211529/ERR1211529_Aligned.sortedByCoord.out.bam
2i_4_67,ERR1211530,2i,/home/s2321661/Test/align/ERR1211530/ERR1211530_Aligned.sortedByCoord.out.bam
2i_4_68,ERR1211531,2i,/home/s2321661/Test/align/ERR1211531/ERR1211531_Aligned.sortedByCoord.out.bam
2i_4_69,ERR1211532,2i,/home/s2321661/Test/align/ERR1211532/ERR1211532_Aligned.sortedByCoord.out.bam
2i_4_7,ERR1211470,2i,/home/s2321661/Test/align/ERR1211470/ERR1211470_Aligned.sortedByCoord.out.bam
2i_4_70,ERR1211533,2i,/home/s2321661/Test/align/ERR1211533/ERR1211533_Aligned.sortedByCoord.out.bam
2i_4_71,ERR1211534,2i,/home/s2321661/Test/align/ERR1211534/ERR1211534_Aligned.sortedByCoord.out.bam
2i_4_72,ERR1211535,2i,/home/s2321661/Test/align/ERR1211535/ERR1211535_Aligned.sortedByCoord.out.bam
2i_4_73,ERR1211536,2i,/home/s2321661/Test/align/ERR1211536/ERR1211536_Aligned.sortedByCoord.out.bam
2i_4_74,ERR1211537,2i,/home/s2321661/Test/align/ERR1211537/ERR1211537_Aligned.sortedByCoord.out.bam
2i_4_75,ERR1211538,2i,/home/s2321661/Test/align/ERR1211538/ERR1211538_Aligned.sortedByCoord.out.bam
2i_4_76,ERR1211539,2i,/home/s2321661/Test/align/ERR1211539/ERR1211539_Aligned.sortedByCoord.out.bam
2i_4_77,ERR1211540,2i,/home/s2321661/Test/align/ERR1211540/ERR1211540_Aligned.sortedByCoord.out.bam
2i_4_78,ERR1211541,2i,/home/s2321661/Test/align/ERR1211541/ERR1211541_Aligned.sortedByCoord.out.bam
2i_4_79,ERR1211542,2i,/home/s2321661/Test/align/ERR1211542/ERR1211542_Aligned.sortedByCoord.out.bam
2i_4_8,ERR1211471,2i,/home/s2321661/Test/align/ERR1211471/ERR1211471_Aligned.sortedByCoord.out.bam
2i_4_80,ERR1211543,2i,/home/s2321661/Test/align/ERR1211543/ERR1211543_Aligned.sortedByCoord.out.bam
2i_4_81,ERR1211544,2i,/home/s2321661/Test/align/ERR1211544/ERR1211544_Aligned.sortedByCoord.out.bam
2i_4_82,ERR1211545,2i,/home/s2321661/Test/align/ERR1211545/ERR1211545_Aligned.sortedByCoord.out.bam
2i_4_83,ERR1211546,2i,/home/s2321661/Test/align/ERR1211546/ERR1211546_Aligned.sortedByCoord.out.bam
2i_4_84,ERR1211547,2i,/home/s2321661/Test/align/ERR1211547/ERR1211547_Aligned.sortedByCoord.out.bam
2i_4_85,ERR1211548,2i,/home/s2321661/Test/align/ERR1211548/ERR1211548_Aligned.sortedByCoord.out.bam
2i_4_86,ERR1211549,2i,/home/s2321661/Test/align/ERR1211549/ERR1211549_Aligned.sortedByCoord.out.bam
2i_4_87,ERR1211550,2i,/home/s2321661/Test/align/ERR1211550/ERR1211550_Aligned.sortedByCoord.out.bam
2i_4_88,ERR1211551,2i,/home/s2321661/Test/align/ERR1211551/ERR1211551_Aligned.sortedByCoord.out.bam
2i_4_89,ERR1211552,2i,/home/s2321661/Test/align/ERR1211552/ERR1211552_Aligned.sortedByCoord.out.bam
2i_4_9,ERR1211472,2i,/home/s2321661/Test/align/ERR1211472/ERR1211472_Aligned.sortedByCoord.out.bam
2i_4_90,ERR1211553,2i,/home/s2321661/Test/align/ERR1211553/ERR1211553_Aligned.sortedByCoord.out.bam
2i_4_91,ERR1211554,2i,/home/s2321661/Test/align/ERR1211554/ERR1211554_Aligned.sortedByCoord.out.bam
2i_4_92,ERR1211555,2i,/home/s2321661/Test/align/ERR1211555/ERR1211555_Aligned.sortedByCoord.out.bam
2i_4_93,ERR1211556,2i,/home/s2321661/Test/align/ERR1211556/ERR1211556_Aligned.sortedByCoord.out.bam
2i_4_94,ERR1211557,2i,/home/s2321661/Test/align/ERR1211557/ERR1211557_Aligned.sortedByCoord.out.bam
2i_4_95,ERR1211558,2i,/home/s2321661/Test/align/ERR1211558/ERR1211558_Aligned.sortedByCoord.out.bam
2i_4_96,ERR1211559,2i,/home/s2321661/Test/align/ERR1211559/ERR1211559_Aligned.sortedByCoord.out.bam
